3482509	1	1	10922311	CL
3482509	1	10923908	30427671	CC
3482509	2	1	273596	LL
3482509	2	273849	2099643	CL
3482509	2	2099712	9541253	CC
3482509	2	9541409	16328729	CL
3482509	2	16329376	19698289	LL
3482509	3	1	1382748	CC
3482509	3	1383647	2481828	CL
3482509	3	2481875	21061938	LL
3482509	3	21062284	23459830	CL
3482509	4	1	1005819	LL
3482509	4	1006168	6512779	CL
3482509	4	6512836	18585056	CC
3482509	5	1	6313973	CC
3482509	5	6314430	9874307	CL
3482509	5	9874653	25300697	LL
3482509	5	25300953	26695385	CL
3482509	5	26697632	26975502	LL
