11	1	1	4034108	CL
11	1	4034601	10693928	CC
11	1	10694804	20470718	CL
11	1	20472814	26219848	CC
11	1	26219938	29809387	CL
11	1	29809460	30427671	LL
11	2	1	7697777	CL
11	2	7700070	12919307	CC
11	2	12919523	12963179	CL
11	2	12965938	19698289	LL
11	3	1	457233	CL
11	3	457940	17012113	LL
11	3	17012868	23459830	CL
11	4	1	5736520	CL
11	4	5737091	7373633	CC
11	4	7375379	11898058	CL
11	4	11898757	18585056	CC
11	5	1	697677	CC
11	5	698056	8848670	CL
11	5	8849169	16855769	LL
11	5	16858727	25694848	CL
11	5	25695680	26975502	LL
